id,created_at,user_id,screen_name,text
N/A,"""2018-11-03T20:06:15.000Z""","""iSophia""",N/A,"""Apple should start making thinner iPhones like the new iPad Pro ?!!"""
N/A,"""2018-11-03T20:00:11.000Z""","""iSophia""",N/A,"""Come on Apple, it\u2019s 2018 we\u2019re already in 4k right now. STEP IT UP"""
N/A,"""2018-11-02T14:11:09.000Z""","""KevinSchantalle""",N/A,"""fukk ugly google pixel 2 comercial before with a ugly version of the apple desing\ud83e\udd22\ud83e\udd22\ud83e\udd22go home google other phones than apple sucks\ud83e\udd23\ud83e\udd23\ud83e\udd23"""
N/A,"""2018-11-01T21:23:08.000Z""","""kpaspa""",N/A,"""Can you compare this with pixel 3???"""
N/A,"""2018-11-01T15:43:22.000Z""","""Vincent A Lassiter""",N/A,"""I either want the silver, black, or red. Haven't decided..."""
N/A,"""2018-11-01T03:07:16.000Z""","""Minal C.""",N/A,"""buy a plane ticket instead, and experience something new.... oh wait, need a good phone to take pics of the destination. Catch 22"""
N/A,"""2018-10-31T00:20:58.000Z""","""Mobileshout tech""",N/A,"""Paint a turd and slap and apple logo on it and people will flock to buy it."""
N/A,"""2018-10-30T21:55:37.000Z""","""Toni worthy""",N/A,"""Waiting patiently for this review to drop\ud83d\ude47\ud83c\udffe\u200d\u2640\ufe0f\ud83d\ude47\ud83c\udffe\u200d\u2640\ufe0f\ud83d\ude47\ud83c\udffe\u200d\u2640\ufe0f"""
N/A,"""2018-10-30T01:03:52.000Z""","""Varun paramasivam""",N/A,"""Good"""
N/A,"""2018-10-29T21:01:45.000Z""","""guepar11""",N/A,"""I have an iPhone 6 and I want to change it. Which is better iphone 8 plus or iphone Xr"""
N/A,"""2018-10-29T18:56:22.000Z""","""aw27s""",N/A,"""Does anyone know if you can long press to open messages from the lock screen since there is no 3D Touch?\nMight be a deal breaker for me... However with Face ID I should just be able to click on a message and go right to it... right?"""
N/A,"""2018-10-29T13:36:53.000Z""","""Ramesh Madara""",N/A,"""Red iphone xr"""
N/A,"""2018-10-29T05:31:52.000Z""","""Karim Godoy""",N/A,"""Just to put things into perspective:\nOne plus 6t is almost out, its going to have  better cameras, equally good design, super fast charging in the box, better screen, better screen to body ratio, is going to be as fast if not faster with a slower Chip, more ram,in display fingerprint scanner, more storage and its going to be 250$ cheaper than this! how about that?"""
N/A,"""2018-10-29T03:51:23.000Z""","""ATZ_ Skill""",N/A,"""IPhone XR white and black the safest to go bc I\u2019m gonna get tired of these colors and I\u2019m getting mine this week :)"""
N/A,"""2018-10-29T02:39:20.000Z""","""So Crafty Studio""",N/A,"""Thank you for this review. I wanted to see all the colors before going to the store and I agree, the red one has the best look from all"""
N/A,"""2018-10-27T18:49:03.000Z""","""Mr.Riffian""",N/A,"""Sorry MB but 3D Touch is a gem that has not been discovered by many. Instead of going through many steps one can reach the setting wanted by two clicks."""
N/A,"""2018-10-27T14:16:55.000Z""","""Abi gail""",N/A,"""I am getting an new iPhone for christmas and don't know which one to get, the XS is a bit pricey so I am thinking either the iPhone X or XR. which one is better?"""
N/A,"""2018-10-27T11:11:10.000Z""","""Erick Nation""",N/A,"""Black color for sure \ud83d\udd25"""
N/A,"""2018-10-27T05:58:06.000Z""","""Mr Mark""",N/A,"""With apple you pay to DOWNGRADE!"""
N/A,"""2018-10-27T05:53:39.000Z""","""Mr Mark""",N/A,"""Maybe Apple is doing a social experiment, How stupid are our costumers?"""
N/A,"""2018-10-26T19:55:41.000Z""","""faje tosku""",N/A,"""i ike android but if i liked ios i would beter buy iphone x than this a better del in my opinion"""
N/A,"""2018-10-26T19:50:02.000Z""","""Milan Savic""",N/A,"""red"""
N/A,"""2018-10-26T19:41:21.000Z""","""HRSHL""",N/A,"""I would choose coral."""
N/A,"""2018-10-26T19:32:43.000Z""","""Joe G.P.""",N/A,"""wait, wait, wait since when does Apple make it's own displays ? i'm pretty sure it's still made by Samsung"""
N/A,"""2018-10-26T16:57:29.000Z""","""This Awesome Channel""",N/A,"""Who\u2019s so excited about the iPhone Xr?!! \ud83d\ude31\ud83d\ude4c\ud83c\udffc"""
N/A,"""2018-10-26T15:48:45.000Z""","""BS YouTube""",N/A,"""waiting for your review on this phone"""
N/A,"""2018-10-26T12:50:35.000Z""","""maaz aslam biggest fan""",N/A,"""it's the great phone of the year"""
N/A,"""2018-10-26T03:00:15.000Z""","""Ness Okay""",N/A,"""How to make a good iPhone:\nPut everything from the XS except the OLED display, and make it Product RED"""
N/A,"""2018-10-26T00:57:42.000Z""","""CRAFTY SWAGGY SHAY""",N/A,"""Why do people keep complaining about this phone?! If you live in a poor family this phone is fine and affordable ;-; and something  I\u2019m annoyed is that people say \u201cbuy the X it\u2019s better and affordable\u201d Hell no it\u2019s not, the bill is way more money"""
N/A,"""2018-10-25T20:48:01.000Z""","""Piyush Sahu""",N/A,"""Blue one."""
N/A,"""2018-10-25T10:14:52.000Z""","""scampbell21""",N/A,"""Solid review. I really don\u2019t care for all of the nonsense around resolution and blah blah. I use iPhone because it\u2019s a really basic phone, responsive phone. At this point you either like the XR (aka iPhone VIIII) or you don\u2019t \ud83d\ude02 I really love the product RED and Coral color. Also considering getting an Apple Watch too to match."""
N/A,"""2018-10-25T01:08:01.000Z""","""Derek Morrison""",N/A,"""Been watching YouTube in 720p all week and it looks surprisingly good, not sure what all the hate is coming from considering you get substantially better battery life and the same back and front camera and features of the xs and a faster chip than the previous X"""
N/A,"""2018-10-25T01:04:50.000Z""","""Blake Eshelman""",N/A,"""I wish I would win this giveaway, I would love the yellow or red"""
N/A,"""2018-10-25T01:04:24.000Z""","""Blake Eshelman""",N/A,"""I would love the yellow or red"""
N/A,"""2018-10-24T23:25:39.000Z""","""tommy d u b b s""",N/A,"""Am I the only one who finds it creepy that the HIV color is bright blood red?"""
N/A,"""2018-10-24T23:24:30.000Z""","""tommy d u b b s""",N/A,"""XR should have been 500 bucks.. or just give the colors to the XS"""
N/A,"""2018-10-24T23:22:23.000Z""","""tommy d u b b s""",N/A,"""Someone with XR: no one needs state of the art pixels duhh\nSomeone with XS: I got more pixels lollllllllll"""
N/A,"""2018-10-24T22:43:55.000Z""","""sam sharp""",N/A,"""I want this phone bad... it\u2019s an upgrade from the 8 but not super expensive"""
N/A,"""2018-10-24T21:44:26.000Z""","""The Prime""",N/A,"""Lmao! Taxi vibe \ud83d\udc80"""
N/A,"""2018-10-24T20:08:30.000Z""","""Niklas Skaarup""",N/A,"""I would love to win the white version!"""
N/A,"""2018-10-24T15:41:10.000Z""","""Kishan Shinde""",N/A,"""Red Color is Gorgeous"""
N/A,"""2018-10-24T14:17:13.000Z""","""Ahmed Harees""",N/A,"""Red"""
N/A,"""2018-10-24T12:53:28.000Z""","""Traice007""",N/A,"""I see no Dual Domain Pixels listed for the iPhone XR specs but it is listed for the iPhone 8. The Dual Domain Pixels contribute a lot to the viewing angle of the display. \nDid Apple remove this feature on the iPhone XR?"""
N/A,"""2018-10-24T11:19:20.000Z""","""Eryna Rasid""",N/A,"""Coral , blue and red look good thoo \ud83d\udc95"""
N/A,"""2018-10-24T10:30:01.000Z""","""John Abhishek""",N/A,"""RRRED!!!!!!!!!! \u2764\ufe0f\ud83c\udf4e\ud83e\udd1e\ud83c\udffb"""
N/A,"""2018-10-24T06:32:24.000Z""","""Aryan Sachdeva""",N/A,"""2018 : apple removed dongle in the box for the iphone and quoting a price of 150 k\n\n\n2020 : apple removed the phone from the box and quoting a price of 1000 k \ud83e\udd23\ud83e\udd23\ud83e\udd23\ud83e\udd23"""
N/A,"""2018-10-24T06:28:52.000Z""","""Aryan Sachdeva""",N/A,"""Iphone x, xr ,xs ,xs max are alss same just the difference is of the colors and a little bit display hence iphone  is a waste of time."""
N/A,"""2018-10-24T03:52:41.000Z""","""vab kadam""",N/A,"""all colours is best\nsuperb"""
N/A,"""2018-10-24T03:02:28.000Z""","""TwoPercentGaming""",N/A,"""a red iphone please"""
N/A,"""2018-10-23T23:41:20.000Z""","""Jaheem Smith""",N/A,"""Cool phone \ud83c\udf83, although I still think that the red one should have gotten a 10"""
N/A,"""2018-10-23T20:43:30.000Z""","""DONE VON VEESUALS""",N/A,"""For me, the white iPhone XR is the purest representation of minimalism. I would definitely choose that one. It also works and blends nice with everything."""
N/A,"""2018-10-23T20:34:24.000Z""","""Nick Stoni""",N/A,"""Red, plsss"""
N/A,"""2018-10-23T20:21:35.000Z""","""Ashim Ayub""",N/A,"""The iphoneXR red"""
N/A,"""2018-10-23T19:57:30.000Z""","""Sarcastic_sayan""",N/A,"""OMG...\ud83d\ude32\ud83d\ude32\ud83d\ude32....the best display ever on an iPhone wait it's a \""Liquid Retina Display\"""""
N/A,"""2018-10-23T18:30:49.000Z""","""Raven Sutton""",N/A,"""Uggggh \ud83e\udd26\ud83c\udffd\u200d\u2640\ufe0f why so they keep using that UGLY ASS BLUE.?! My favorite color is blue but that baby shit can just \u201cthrow the whole iPhone away\u201d \ud83d\uddd1 \ud83d\udc81\ud83c\udffd\u200d\u2640\ufe0f..... we need a pretty BLUE sweety like \ud83c\udfa3\ud83d\uddb2\ud83d\udc99\ud83d\udc99\ud83d\udc99\ud83d\udc99\ud83d\udc99\ud83c\udf00\ud83c\udf00\ud83c\udf00\ud83d\udd35\ud83d\udd35 Now that\u2019s what I\u2019m talking about DARKER OR LOUDER that shit will be nice, I need that color IPHONE XR.! Where can I order a color like that.?"""
N/A,"""2018-10-23T17:18:01.000Z""","""Sheeja Rani""",N/A,"""Coral"""
N/A,"""2018-10-23T17:07:35.000Z""","""Tom\u00e1\u0161 Neuwirth""",N/A,"""Red"""
N/A,"""2018-10-23T16:41:32.000Z""","""Kashish Tanwer""",N/A,"""I love black and blue is second favourite"""
N/A,"""2018-10-23T15:42:06.000Z""","""Daniel Balla""",N/A,"""I'll have a black one please\ud83e\udd17"""
N/A,"""2018-10-23T14:49:46.000Z""","""Jakub Zila""",N/A,"""Red XR for me please, thanks!"""
N/A,"""2018-10-23T13:45:22.000Z""","""Jahwemars""",N/A,"""black"""
N/A,"""2018-10-23T13:24:52.000Z""","""Yatharth Bansal""",N/A,"""Thats a really clean Red product there."""
N/A,"""2018-10-23T12:21:59.000Z""","""Saravanan M""",N/A,"""(PROUCT) red / the blue one"""
N/A,"""2018-10-23T12:21:46.000Z""","""Maan Josue""",N/A,"""Red ftw"""
N/A,"""2018-10-23T12:17:13.000Z""","""kumar Ravi""",N/A,"""so cool"""
N/A,"""2018-10-23T11:58:39.000Z""","""Rahul Bhutani""",N/A,"""In India, You ll get a note 9 128GB plus a 256gb memory card for the price of an iPhone  XR.   Wondering who the hell will buy this thing in India."""
N/A,"""2018-10-23T11:31:01.000Z""","""Kishan Kishanth""",N/A,"""Blue"""
N/A,"""2018-10-23T11:03:04.000Z""","""Andrej Gobec""",N/A,"""I must say  ... RED"""
N/A,"""2018-10-23T10:16:14.000Z""","""Abdullah Yasin""",N/A,"""I wanna white one \u2764"""
N/A,"""2018-10-23T10:10:46.000Z""","""Raj Burundkar""",N/A,"""Iphone XR product RED is the best Color. I would like one."""
N/A,"""2018-10-23T10:10:11.000Z""","""Adham Adel""",N/A,"""\u2066\u2764\ufe0f\u2069red\u2764\ufe0f"""
N/A,"""2018-10-23T10:02:17.000Z""","""City Grunt""",N/A,"""Everyone has a phone, so simply trade that phone in, I got $150 for my 6S. So my new Red XR is $600, that\u2019s not a lot of money for a product you use every single day when you have a job.\nI honestly can not tell the difference in any iPhone resolutions, or cameras. Everyone is waaaay to wrapped up in these ultra fine details.\nI don\u2019t watch videos on my phone like my 13yo daughter does to the extent that I care about the resolution whatsoever."""
N/A,"""2018-10-23T08:54:14.000Z""","""iTechAwan""",N/A,"""Can\u2019t wait for my Product RED iPhone XR to get here this FRIDAY!\ud83d\ude29\ud83d\udcf2\ud83d\udd34 Who else bought the red color?"""
N/A,"""2018-10-23T08:17:31.000Z""","""Lord Zephyrus""",N/A,"""The \""R\"" stands for rubbish"""
N/A,"""2018-10-23T08:16:48.000Z""","""Anthony Webb""",N/A,"""I have the Xs max I don\u2019t understand apple making this phone it is a bit of a joke to be honest"""
N/A,"""2018-10-23T00:49:32.000Z""","""R Ahmed""",N/A,"""goddamn that is terrible display"""
N/A,"""2018-10-23T00:46:24.000Z""","""spooky boi""",N/A,"""The X is a garbage design"""
N/A,"""2018-10-22T23:15:06.000Z""","""TripleAAA Gaming""",N/A,"""Wait I have a question. Doesn\u2019t the iPhone 6, 7, 8 have a low display and can still run videos in 1080p?"""
N/A,"""2018-10-22T22:09:24.000Z""","""maStEr LemOnS""",N/A,"""This is would be sooo much better than the XS if they just removed the screen and sold it separately."""
N/A,"""2018-10-22T19:27:26.000Z""","""Donghoon 2""",N/A,"""Wanna hear a joke?\n\n\n\n\n2018 Budget iPhones"""
N/A,"""2018-10-22T19:26:01.000Z""","""Nicholas Rocha Kanner Rios""",N/A,"""T\u00e1xi vibe to it \ud83d\ude02"""
N/A,"""2018-10-22T17:03:35.000Z""","""Irfan Bandali""",N/A,"""does the XR have the same durable back glass as the XS?"""
